Width of pulses after propagation through fiber
Initial pulse with sig_wl = 3nm, sig_t=4.3035e-13

L(m)	SigL_t (s)
100	6.07556e-13
200	9.60396e-13
300	1.35828e-12
400	1.7711e-12
500	2.19043e-12
600	2.61314e-12
700	3.03781e-12
800	3.46373e-12
900	3.89049e-12
1000	4.31783e-12
1100	4.7456e-12
1200	5.1737e-12
1300	5.60204e-12
1400	6.03058e-12
1500	6.45928e-12
1600	6.8881e-12
1700	7.31703e-12
1800	7.74605e-12
1900	8.17514e-12
2000	8.60429e-12
2100	9.0335e-12
2200	9.46275e-12
2300	9.89205e-12
2400	1.03214e-11
2500	1.07507e-11
2600	1.11801e-11
2700	1.16095e-11
2800	1.2039e-11
2900	1.24684e-11
3000	1.28979e-11
3100	1.33274e-11
3200	1.37569e-11
3300	1.41864e-11
3400	1.46159e-11
3500	1.50455e-11
3600	1.5475e-11
3700	1.59046e-11
3800	1.63341e-11
3900	1.67637e-11
4000	1.71933e-11
4100	1.76229e-11
4200	1.80525e-11
4300	1.84821e-11
4400	1.89117e-11
4500	1.93413e-11
4600	1.97709e-11
4700	2.02005e-11
4800	2.06302e-11
4900	2.10598e-11
5000	2.14894e-11
5100	2.1919e-11
5200	2.23487e-11
5300	2.27783e-11
5400	2.3208e-11
5500	2.36376e-11
5600	2.40673e-11
5700	2.44969e-11
5800	2.49266e-11
5900	2.53562e-11
6000	2.57859e-11
6100	2.62155e-11
6200	2.66452e-11
6300	2.70749e-11
6400	2.75045e-11
6500	2.79342e-11
6600	2.83639e-11
6700	2.87935e-11
6800	2.92232e-11
6900	2.96529e-11
7000	3.00826e-11
7100	3.05122e-11
7200	3.09419e-11
7300	3.13716e-11
7400	3.18013e-11
7500	3.2231e-11
7600	3.26606e-11
7700	3.30903e-11
7800	3.352e-11
7900	3.39497e-11
8000	3.43794e-11
8100	3.48091e-11
8200	3.52387e-11
8300	3.56684e-11
8400	3.60981e-11
8500	3.65278e-11
8600	3.69575e-11
8700	3.73872e-11
8800	3.78169e-11
8900	3.82466e-11
9000	3.86763e-11
9100	3.9106e-11
9200	3.95356e-11
9300	3.99653e-11
9400	4.0395e-11
9500	4.08247e-11
9600	4.12544e-11
9700	4.16841e-11
9800	4.21138e-11
9900	4.25435e-11
10000	4.29732e-11
10100	4.34029e-11
10200	4.38326e-11
10300	4.42623e-11
10400	4.4692e-11
10500	4.51217e-11
10600	4.55514e-11
10700	4.59811e-11
10800	4.64108e-11
10900	4.68405e-11
11000	4.72702e-11
11100	4.76999e-11
11200	4.81296e-11
11300	4.85593e-11
11400	4.8989e-11
11500	4.94187e-11
11600	4.98484e-11
11700	5.02781e-11
11800	5.07078e-11
11900	5.11375e-11
12000	5.15672e-11
12100	5.19969e-11
12200	5.24266e-11
12300	5.28564e-11
12400	5.32861e-11
12500	5.37158e-11
12600	5.41455e-11
12700	5.45752e-11
12800	5.50049e-11
12900	5.54346e-11
13000	5.58643e-11
13100	5.6294e-11
13200	5.67237e-11
13300	5.71534e-11
13400	5.75831e-11
13500	5.80128e-11
13600	5.84425e-11
13700	5.88722e-11
13800	5.9302e-11
13900	5.97317e-11
14000	6.01614e-11
14100	6.05911e-11
14200	6.10208e-11
14300	6.14505e-11
14400	6.18802e-11
14500	6.23099e-11
14600	6.27396e-11
14700	6.31693e-11
14800	6.3599e-11
14900	6.40287e-11
15000	6.44585e-11
