Width of pulses after propagation through fiber
Initial pulse with sig_wl = 30nm, sig_t=4.3035e-14

L(m)	SigL_t (s)
100	4.29732e-12
200	8.59441e-12
300	1.28916e-11
400	1.71887e-11
500	2.14859e-11
600	2.57831e-11
700	3.00803e-11
800	3.43775e-11
900	3.86747e-11
1000	4.29719e-11
1100	4.7269e-11
1200	5.15662e-11
1300	5.58634e-11
1400	6.01606e-11
1500	6.44578e-11
1600	6.8755e-11
1700	7.30522e-11
1800	7.73494e-11
1900	8.16466e-11
2000	8.59438e-11
2100	9.0241e-11
2200	9.45381e-11
2300	9.88353e-11
2400	1.03133e-10
2500	1.0743e-10
2600	1.11727e-10
2700	1.16024e-10
2800	1.20321e-10
2900	1.24618e-10
3000	1.28916e-10
3100	1.33213e-10
3200	1.3751e-10
3300	1.41807e-10
3400	1.46104e-10
3500	1.50402e-10
3600	1.54699e-10
3700	1.58996e-10
3800	1.63293e-10
3900	1.6759e-10
4000	1.71888e-10
4100	1.76185e-10
4200	1.80482e-10
4300	1.84779e-10
4400	1.89076e-10
4500	1.93373e-10
4600	1.97671e-10
4700	2.01968e-10
4800	2.06265e-10
4900	2.10562e-10
5000	2.14858e-10
5100	2.19155e-10
5200	2.23451e-10
5300	2.27746e-10
5400	2.32041e-10
5500	2.36335e-10
5600	2.40628e-10
5700	2.4492e-10
5800	2.4921e-10
5900	2.53498e-10
6000	2.57783e-10
6100	2.62065e-10
6200	2.66343e-10
6300	2.70617e-10
6400	2.74885e-10
6500	2.79148e-10
6600	2.83404e-10
6700	2.87652e-10
6800	2.91891e-10
6900	2.9612e-10
7000	3.00339e-10
7100	3.04546e-10
7200	3.0874e-10
7300	3.12919e-10
7400	3.17082e-10
7500	3.21229e-10
7600	3.25358e-10
7700	3.29468e-10
7800	3.33557e-10
7900	3.37624e-10
8000	3.41667e-10
8100	3.45687e-10
8200	3.49681e-10
8300	3.53648e-10
8400	3.57587e-10
8500	3.61496e-10
8600	3.65376e-10
8700	3.69224e-10
8800	3.7304e-10
8900	3.76822e-10
9000	3.8057e-10
9100	3.84282e-10
9200	3.87958e-10
9300	3.91597e-10
9400	3.95199e-10
9500	3.98761e-10
9600	4.02285e-10
9700	4.05769e-10
9800	4.09212e-10
9900	4.12614e-10
10000	4.15975e-10
10100	4.19294e-10
10200	4.2257e-10
10300	4.25804e-10
10400	4.28994e-10
10500	4.32142e-10
10600	4.35245e-10
10700	4.38305e-10
10800	4.41321e-10
10900	4.44294e-10
11000	4.47222e-10
11100	4.50105e-10
11200	4.52945e-10
11300	4.55741e-10
11400	4.58492e-10
11500	4.61199e-10
11600	4.63863e-10
11700	4.66483e-10
11800	4.69059e-10
11900	4.71591e-10
12000	4.7408e-10
12100	4.76527e-10
12200	4.7893e-10
12300	4.81291e-10
12400	4.8361e-10
12500	4.85887e-10
12600	4.88122e-10
12700	4.90315e-10
12800	4.92468e-10
12900	4.9458e-10
13000	4.96652e-10
13100	4.98685e-10
13200	5.00677e-10
13300	5.02631e-10
13400	5.04546e-10
13500	5.06422e-10
13600	5.08261e-10
13700	5.10063e-10
13800	5.11827e-10
13900	5.13555e-10
14000	5.15247e-10
14100	5.16904e-10
14200	5.18525e-10
14300	5.20112e-10
14400	5.21664e-10
14500	5.23183e-10
14600	5.24668e-10
14700	5.26121e-10
14800	5.27541e-10
14900	5.28929e-10
15000	5.30286e-10
